platform,company_name,job_title,domain_category,skills_required,location,stipend,stipend_raw,duration_months,duration_raw,posted_on,intern_type,location_type,skills_count,has_stipend
Internshala,RSA Actuarial Services India Private Limited,Capital Modelling,Other,,"Capital Modelling




                            RSA Actuarial Services India Private Limited                        
Actively hiring













Gurgaon",18500.0,"₹ 15,000 - 22,000 /month",6.0,6 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Gun Rajan Constructions,Law/Legal,Other,,Law,4750.0,"₹ 4,000 - 5,500 /month",3.0,3 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Leistung Technologies,MERN Stack Developer,Tech,,"MERN Stack Developer




                            Leistung Technologies                        
Actively hiring













Bangalore",11000.0,"₹ 10,000 - 12,000 /month",2.0,2 Months,2025-06-26,Paid,Onsite,0,True
Internshala,72Cubes,Digital Marketing,Marketing,,Digital Marketing,5500.0,"₹ 5,000 - 6,000 /month",6.0,6 Months,2025-06-26,Paid,Onsite,0,True
Internshala,"Knowledge Center, Gurgaon",Architecture,Other,,"Architecture




                            Knowledge Center",18500.0,"₹ 12,000 - 25,000 /month",6.0,6 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Tax-O-Smart LLP,Law/Legal,Other,,Law,12500.0,"₹ 5,000 - 20,000 /month",6.0,6 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Brandshark,Influencer Marketing,Marketing,,"Influencer Marketing




                            Brandshark                        
Actively hiring













Bangalore",10000.0,"₹ 10,000 /month",3.0,3 Months,2025-06-26,Paid,Onsite,0,True
Internshala,SuperHuman Race Private Limited,Recruitment,Design,,"Recruitment




                            SuperHuman Race Private Limited                        
Actively hiring













Delhi",15000.0,"₹ 10,000 - 20,000 /month",6.0,6 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Tyresnmore.com,Business Development (Sales) (Male),Sales,,Business Development (Sales) (Male),16500.0,"₹ 15,000 - 18,000 /month",3.0,3 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Tech Analogy,Business Development (Sales),Sales,,Business Development,20000.0,"₹ 15,000 - 25,000 /month",4.0,4 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Eduminatti,Digital Marketing,Marketing,,"Digital Marketing




                            Eduminatti                        
Actively hiring













Dehradun",2050.0,"₹ 2,000 - 2,100 /month",2.0,2 Months,2025-06-26,Paid,Onsite,0,True
Internshala,METGUARD,Digital Marketing,Marketing,,"Digital Marketing




                            METGUARD                        
Actively hiring













Kolkata",12500.0,"₹ 10,000 - 15,000 /month",3.0,3 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Groovly,Community Management,Other,,"Community Management




                            Groovly                        
Actively hiring













Mumbai",12500.0,"₹ 10,000 - 15,000 /month",3.0,3 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Dashtoon,Creative,Design,,"Creative




                            Dashtoon                        
Actively hiring













Bangalore",17500.0,"₹ 15,000 - 20,000 /month",3.0,3 Months,2025-06-26,Paid,Onsite,0,True
Internshala,FiftySeven,Graphic Design,Design,,Work from home,5000.0,"₹ 5,000 /month",4.0,4 Months,2025-06-26,Paid,Remote,0,True
Internshala,Groovly,Online Marketing,Marketing,,"Online Marketing




                            Groovly                        
Actively hiring













Mumbai",12500.0,"₹ 10,000 - 15,000 /month",3.0,3 Months,2025-06-26,Paid,Onsite,0,True
Internshala,CoreSwipe Technologies (OPC) Private Limited,Content Writing,Marketing,,"Content Writing




                            CoreSwipe Technologies",11000.0,"₹ 10,000 - 12,000 /month",6.0,6 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Deedok It Solutions,Search Engine Optimization (SEO),Marketing,,Search Engine Optimization,5000.0,"₹ 5,000 /month",3.0,3 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Xsoln,Digital Marketing,Marketing,,"Digital Marketing




                            Xsoln                        
Actively hiring













Jaipur",5500.0,"₹ 5,000 - 6,000 /month",4.0,4 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Inspacco,Partner Onboarding (Non-Technical Role),Other,,Partner Onboarding,8000.0,"₹ 6,000 - 10,000 /month",3.0,3 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Search Digitally,Search Engine Optimization (SEO),Marketing,,Search Engine Optimization,5500.0,"₹ 5,000 - 6,000 /month",6.0,6 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Bharti Rakheja,Administration,Operations,,"Administration




                            Bharti Rakheja                        
Actively hiring













Delhi",7500.0,"₹ 5,000 - 10,000 /month",6.0,6 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Zell Education,Business Development (Sales),Sales,,Business Development,6500.0,"₹ 5,000 - 8,000 /month",3.0,3 Months,2025-06-26,Paid,Onsite,0,True
